filing_id,company_id,filing_date,filing_type,jurisdiction,summary_text,status,reviewer_notes,impact_on_trading
RF001,C009,2025-06-05,form_d,Nevada,"Canadian Securities Administrators (CSA) exemption report filed under National Instrument 45-106, Section 2.3 (accredited investor exemption). Cross-border secondary trade of Anthropic shares involving Canadian accredited investor. Trade value: CAD $21,715,000. Exemption report filed within required 10-day period post-closing. Ontario Securities Commission acknowledged receipt.",amendment_required,Expedited review completed due to time-sensitive transaction deadline.,volume_cap_applied
RF002,C005,2026-03-16,form_d,New_York,"Regulation D Rule 506(c) offering filing. General solicitation permitted - verified accredited investor status for all 141 purchasers through third-party verification service. Anthropic secondary shares offered exclusively through HIIVE platform. Total offering: $32,176,000. Verification methods used: income verification (IRS transcript), net worth verification (CPA attestation), and professional certification (Series 7/65 holders).",under_review,Approved pending receipt of updated legal opinion letter within 15 business days.,new_exemption_available
RF003,C012,2025-04-21,csa_exemption,New_York,"Form D filing submitted to SEC for exempt offering under Rule 506(b) of Regulation D. Scale AI is conducting a secondary transaction facilitated through HIIVE platform. Total offering amount: $15,711,000. Number of investors solicited: 99. All purchasers are accredited investors as defined under Rule 501(a). No general solicitation employed. Filing covers transactions expected to close between 2026-05-04 and 2025-04-22.",filed,No issues identified. Standard processing timeline applies.,new_exemption_available
RF004,C003,2025-08-01,csa_exemption,New_York,"Amendment to existing Form D filing (File No. 021-161795) to update total amount sold. Previous reported amount: $26,923,000. Revised amount: $40,902,000 reflecting additional secondary trades completed in Q4 2025. No change to investor count or offering terms. Amendment filed within required 30-day window.",under_review,Approved pending receipt of updated legal opinion letter within 15 business days.,trading_suspended
RF005,C001,2025-11-26,transfer_restriction_update,Nevada,"Form D filing submitted to SEC for exempt offering under Rule 506(b) of Regulation D. Anthropic is conducting a secondary transaction facilitated through HIIVE platform. Total offering amount: $45,745,000. Number of investors solicited: 148. All purchasers are accredited investors as defined under Rule 501(a). No general solicitation employed. Filing covers transactions expected to close between 2026-05-16 and 2026-05-27.",approved,Cross-referenced with prior filings. Consistent with historical activity.,new_exemption_available
RF006,C014,2025-03-25,form_d,Nevada,"Amendment to existing Form D filing (File No. 021-274270) to update total amount sold. Previous reported amount: $8,841,000. Revised amount: $1,392,000 reflecting additional secondary trades completed in Q2 2025. No change to investor count or offering terms. Amendment filed within required 30-day window.",approved,Expedited review completed due to time-sensitive transaction deadline.,trading_suspended
RF007,C011,2026-06-22,csa_exemption,California,"Regulation D Rule 506(c) offering filing. General solicitation permitted - verified accredited investor status for all 35 purchasers through third-party verification service. Scale AI secondary shares offered exclusively through HIIVE platform. Total offering: $1,106,000. Verification methods used: income verification (IRS transcript), net worth verification (CPA attestation), and professional certification (Series 7/65 holders).",amendment_required,Flagged for enhanced review due to aggregate offering size exceeding $10M threshold.,trading_suspended
RF008,C003,2025-10-25,rofr_waiver,New_York,"Transfer restriction update filed reflecting amendment to Anthropic Shareholders Agreement Section 4(c). Previous restriction: 12-month lock-up post-vesting for all employee shareholders. Amended restriction: 6-month lock-up for employees with 3+ years tenure. Affects approximately 58 shareholders with aggregate holdings of 31,440,000 shares. Effective date: 2025-12-05. Platform listings updated to reflect new eligibility.",acknowledged,Reviewed and acknowledged. No further action required from filer.,volume_cap_applied
RF009,C002,2025-01-06,blue_sky_filing,New_York,"Canadian Securities Administrators (CSA) exemption report filed under National Instrument 45-106, Section 2.3 (accredited investor exemption). Cross-border secondary trade of SpaceX shares involving Canadian accredited investor. Trade value: CAD $35,740,000. Exemption report filed within required 10-day period post-closing. Ontario Securities Commission acknowledged receipt.",amendment_required,Reviewed and acknowledged. No further action required from filer.,restricted_to_QIBs
RF010,C011,2025-01-15,reg_d_amendment,Ontario_CSA,ROFR waiver documentation filed. Scale AI board of directors unanimously waived Right of First Refusal for secondary transfer of 83 shares from shareholder Brian Zhang to qualified buyer sourced through HIIVE platform. Waiver effective for 45 days from 2026-01-12. Standard transfer restrictions and information rights remain in effect. Company counsel opinion letter attached.,filed,Flagged for enhanced review due to aggregate offering size exceeding $10M threshold.,trading_suspended
RF011,C005,2025-07-02,blue_sky_filing,Delaware,"Blue sky notice filing for secondary transactions in Scale AI shares to be offered to residents of New York. Filing made under the state's uniform limited offering exemption. Transaction details: up to 75 investors, maximum aggregate offering of $22,137,000. Consent from issuer obtained. Broker-dealer registration confirmed in jurisdiction.",amendment_required,Reviewed and acknowledged. No further action required from filer.,trading_suspended
RF012,C003,2026-05-02,form_d,British_Columbia,"Amendment to existing Form D filing (File No. 021-442978) to update total amount sold. Previous reported amount: $9,476,000. Revised amount: $34,035,000 reflecting additional secondary trades completed in Q3 2025. No change to investor count or offering terms. Amendment filed within required 30-day window.",approved,Expedited review completed due to time-sensitive transaction deadline.,volume_cap_applied
