review_id,entity_id,review_date,reviewer_id,review_type,findings_text,risk_score,outcome,follow_up_required
CR001,SH019,2025-06-16,REV05,accreditation_check,"Enhanced due diligence triggered by cross-border transaction. Buyer entity domiciled in Singapore with beneficial ownership traced to individual verified through local KYC partner. FATCA classification: Non-participating FFI exemption applies. No OFAC/SDN matches. Wire instructions verified through callback procedure. Transaction value $2,514,000 within normal parameters for institutional buyer.",0.22,rejected,TRUE
CR002,SH004,2026-05-16,REV05,kyc_initial,"Suspicious activity review initiated after tip from compliance monitoring. Subject attempted to list shares at significantly below market price (40% discount to last 409A). Investigation determined seller is in financial distress and seeking rapid liquidity. No evidence of market manipulation or insider trading. Pricing reflects urgency premium, not information asymmetry. Filed internal memo, no SAR warranted.",0.33,approved,TRUE
CR003,SH006,2025-10-05,REV03,kyc_renewal,"Suspicious activity review initiated after tip from compliance monitoring. Subject attempted to list shares at significantly below market price (40% discount to last 409A). Investigation determined seller is in financial distress and seeking rapid liquidity. No evidence of market manipulation or insider trading. Pricing reflects urgency premium, not information asymmetry. Filed internal memo, no SAR warranted.",0.43,approved,FALSE
CR004,B003,2026-02-13,REV02,aml_flag,"Enhanced due diligence triggered by cross-border transaction. Buyer entity domiciled in Singapore with beneficial ownership traced to individual verified through local KYC partner. FATCA classification: Non-participating FFI exemption applies. No OFAC/SDN matches. Wire instructions verified through callback procedure. Transaction value $2,645,000 within normal parameters for institutional buyer.",0.69,approved,TRUE
CR005,SH017,2025-05-19,REV07,transfer_review,"Transfer restriction review for Databricks shares. ROFR (Right of First Refusal) waiver obtained from company counsel dated 2025-03-29. Lock-up period expired 12 months ago. No transfer agent holds or legends requiring removal. Company board approval not required for transfers under 50,000 shares. Transfer cleared to proceed.",0.79,approved,TRUE
CR006,SH025,2026-03-24,REV02,kyc_renewal,"Initial KYC for institutional buyer. Entity is a registered investment advisor (SEC File No. verified). Fund documentation includes PPM, LP agreement, and most recent audited financials. Authorized signatory confirmed via corporate resolution. Qualified institutional buyer (QIB) status verified - manages $100M+ in securities. Expedited approval granted.",0.33,approved,FALSE
CR007,B005,2025-01-29,REV01,accreditation_check,"AML monitoring flagged unusual pattern: multiple small-lot purchases across three separate listings within 48-hour window totaling $2,577,000. Investigation revealed subject is dollar-cost averaging into a position ahead of anticipated IPO. Transaction pattern consistent with stated investment strategy. No structuring indicators present. Cleared after enhanced review of source of funds.",0.55,escalated,FALSE
CR008,SH004,2026-02-07,REV03,accreditation_check,Subject completed standard KYC verification. Government-issued photo ID verified against third-party database. Proof of address confirmed via utility statement dated within 90 days. No adverse media findings. PEP screening returned negative. Source of funds documentation reviewed - shares acquired through employment equity compensation plan at Canva. All documentation meets regulatory requirements for qualified purchaser status.,0.09,rejected,TRUE
CR009,SH022,2025-04-10,REV05,transfer_review,"Quarterly AML review of high-volume trader. Subject executed 11 trades totaling $598,000 over review period. All transactions supported by documented investment thesis. Source of funds traced to verified angel investment fund with proper LP documentation. Trading patterns consistent with portfolio rebalancing strategy. No red flags identified.",0.46,conditionally_approved,FALSE
CR010,SH009,2025-08-17,REV03,aml_flag,"Enhanced due diligence triggered by cross-border transaction. Buyer entity domiciled in Singapore with beneficial ownership traced to individual verified through local KYC partner. FATCA classification: Non-participating FFI exemption applies. No OFAC/SDN matches. Wire instructions verified through callback procedure. Transaction value $4,072,000 within normal parameters for institutional buyer.",0.05,conditionally_approved,TRUE
