ticket_id,user_id,created_date,category,priority,description_text,resolution_text,status,resolution_days
TK001,U015,2026-04-19,trade_execution,medium,I accidentally listed my shares at $49 instead of $60 (mistyped the price). A buyer immediately matched the listing. Is there any way to cancel or modify the trade before settlement? I realize the platform terms may not allow this but the price difference is significant.,Escalated to verification team. The delay was caused by the CPA letter being partially illegible (scan quality issue). Contacted client and received a clearer copy. Accreditation verified and approved within 24 hours of receiving updated documentation. Client can now bid on listings.,resolved,3
TK002,U028,2025-02-20,account_verification,low,I placed a bid on 13075 shares of Anthropic three days ago and the listing showed as 'matched' but I haven't received any confirmation email or seen the trade in my portfolio. The funds were debited from my escrow account on 2026-03-27. Can you please check the status? My order reference is ORD-708059.,Identified the issue - our payment processor has a single-transaction limit that was triggering the timeout. Engineering team deployed a fix to split large bids into batched settlement instructions. Client confirmed the issue is resolved. Added to known issues documentation.,resolved,9
TK003,U015,2025-04-26,platform_issue,low,"I'm trying to understand the pricing difference between the 409A valuation shown ($238/share) and the current ask prices on the marketplace ($164/share). Is there a way to see historical pricing trends? Also, what's the typical discount/premium to 409A for Databricks shares?",Confirmed with Canva legal team that this is a partial ROFR exercise. The company is exercising on 43728 of the listed 25557 shares. Remaining shares will proceed to the original buyer. Updated listing status and notified both parties of the split transaction.,resolved,1
TK004,U010,2025-06-03,platform_issue,low,"I need to update my banking information for settlement. I recently switched banks and want to ensure my next trade settlement goes to the correct account. Also, will this trigger a new KYC review? I have two trades settling next week and don't want any delays.",,in_progress,
TK005,U021,2026-03-05,platform_issue,high,"Requesting clarification on the commission structure. I was charged 3.2% on my last trade but my understanding from onboarding was that institutional accounts receive a 2.3% rate for trades over $1M. My trade was $1,700,000. Can you review and adjust if applicable?",Provided client with historical pricing report for SpaceX showing 409A history and secondary trade ranges over the past 12 months. Explained that marketplace premiums typically range 15-40% above 409A depending on liquidity and demand. Directed to pricing signals page for real-time data.,resolved,8
TK006,U024,2026-02-24,transfer_delay,low,"Requesting clarification on the commission structure. I was charged 4.5% on my last trade but my understanding from onboarding was that institutional accounts receive a 1.7% rate for trades over $1M. My trade was $1,013,000. Can you review and adjust if applicable?","Reviewed account tier and confirmed institutional rate should apply. Commission recalculated from 4.2% to 2.1%, resulting in a credit of $2,850 applied to client's account. Updated account settings to prevent future billing discrepancies. Confirmed with finance team.",resolved,2
TK007,U003,2026-02-23,pricing_inquiry,medium,The transfer agent is showing a different share count than what's on my HIIVE portfolio. My records show 38749 shares of Wiz but the platform shows 33387. I believe this discrepancy occurred after the stock split that happened in Q1. Please reconcile.,,in_progress,
TK008,U005,2026-06-12,platform_issue,urgent,My settlement has been delayed beyond the T+3 window. Trade was executed on 2025-09-05 for 24223 shares of Canva at $170/share. It's now been 8 business days with no settlement. The counterparty's transfer agent apparently needs additional documentation. What's the standard process here?,,in_progress,
TK009,U030,2026-02-23,compliance_question,medium,My settlement has been delayed beyond the T+3 window. Trade was executed on 2025-05-18 for 19958 shares of Wiz at $113/share. It's now been 8 business days with no settlement. The counterparty's transfer agent apparently needs additional documentation. What's the standard process here?,,open,
TK010,U009,2025-04-10,account_verification,medium,"I received a ROFR notice from Anthropic dated 2026-06-22 stating they intend to exercise their right of first refusal on my listed shares. However, my listing was for 4164 shares and the ROFR notice references 37970 shares. Can someone clarify if this is a partial exercise?",Reconciliation complete. The discrepancy was due to the 3:1 stock split not being reflected in the transfer agent records synced to our platform. Updated share count to 49144 shares. Confirmed with transfer agent that records now match. No action needed from shareholder.,resolved,5
