company_id,company_name,sector,last_409a_valuation_usd,total_shares_outstanding,founding_year,hq_city,funding_stage,last_funding_date,employee_count
C001,Stripe,Fintech,65000000000,980000000,2010,San Francisco,Series I,2024-03-15,8200
C002,SpaceX,Aerospace,180000000000,750000000,2002,Hawthorne,Series N,2024-06-20,13000
C003,Databricks,Data & AI,43000000000,620000000,2013,San Francisco,Series I,2023-09-14,5800
C004,Canva,Design Tech,26000000000,450000000,2012,Sydney,Series F,2024-01-10,4200
C005,Discord,Social Platform,15000000000,380000000,2015,San Francisco,Series H,2023-12-05,650
C006,Plaid,Fintech,13200000000,310000000,2013,San Francisco,Series D,2023-04-22,1100
C007,Figma,Design Tech,12500000000,290000000,2012,San Francisco,Series E,2023-06-18,1400
C008,Notion,Productivity,10000000000,270000000,2013,San Francisco,Series C,2024-02-28,800
C009,Airtable,Productivity,11000000000,320000000,2012,San Francisco,Series F,2023-08-11,900
C010,Rippling,HR Tech,13500000000,340000000,2016,San Francisco,Series E,2024-04-05,2800
C011,Scale AI,Data & AI,13800000000,360000000,2016,San Francisco,Series F,2024-05-12,1500
C012,Anthropic,AI,18400000000,410000000,2021,San Francisco,Series D,2024-03-08,900
C013,Anduril,Defense Tech,14000000000,390000000,2017,Costa Mesa,Series F,2024-08-01,2500
C014,Wiz,Cybersecurity,12000000000,280000000,2020,New York,Series D,2024-05-20,1200
C015,Reddit,Social Platform,6500000000,520000000,2005,San Francisco,Late Stage,2023-08-30,2000
